shot_id,match_id,team,opponent,player,period,minute,second,shot_x,shot_y,shot_dist_to_goal_m,xg,outcome,is_goal,shot_type,body_part,first_time,under_pressure,play_pattern,attack_start_x,attack_start_y,attack_start_type,attack_duration_s,n_pass,n_carry,x_progression,goal_dist_gain,progression_speed,last_pass_type,last_pass_x,last_pass_y,attack_path,has_360_frame,n_tracked_360,n_defenders_ff,nearest_def_dist_m,def_within_1m,def_within_2m,def_within_3m,def_in_box,def_between_ball_goal,teammates_in_box,gk_x,gk_y,gk_dist_from_goalline_m,gk_lateral_offset_m,attack_type
2e8b83d3-8d70-4882-b24e-efe516fa2d28,3857267,Ecuador,Senegal,Jeremy Leonel Sarmiento Morante,2,88,59,105.3,32.1,15.26,0.02928531,Saved,0,Open Play,Head,False,False,From Throw In,104.3,0.1,Pass,18,6,4,1.0,26.2,0.06,cross,94.5,3.4,wide,True,15,10,2.6,0,0,1,6,1,4,117.5,38.6,2.29,1.28,wide_cross
965bcc85-5bae-4710-8ca7-9203417c49df,3857267,Ecuador,Senegal,Jackson Gabriel Porozo Vernaza,2,93,53,105.9,34.3,13.91,0.052534856,Off T,0,Open Play,Head,False,False,From Throw In,103.1,0.1,Pass,9,3,1,2.8,28.1,0.31,cross,93.2,1.9,wide,True,18,11,2.03,0,0,1,7,1,4,117.6,38.9,2.19,1.01,wide_cross
5628fb42-180e-4756-8655-b0bffc7ba8f0,3857287,Uruguay,South Korea,Matías Vecino Falero,1,12,38,109.5,28.6,14.17,0.052239094,Saved,0,Open Play,Head,False,False,From Throw In,22.9,80.0,Pass,13,2,1,86.6,89.5,6.66,central_pass,94.3,20.5,half_space,True,12,8,1.94,0,1,1,4,1,2,117.4,36.7,2.38,3.02,central_penetration
9a92c82b-99ac-46b4-be65-45a79d4650ed,3857287,Uruguay,South Korea,Federico Santiago Valverde Dipetta,1,18,45,103.9,35.4,15.31,0.05187739,Off T,0,Open Play,Left Foot,False,True,From Goal Kick,7.0,36.1,Pass,28,7,7,96.9,96.3,3.46,central_pass,53.8,19.9,half_space,True,13,8,1.52,0,1,2,4,1,1,117.9,39.5,1.92,0.46,central_penetration
ded873ac-89f3-4ae4-9b4f-96f0ce726233,3857287,South Korea,Uruguay,Ui-Jo Hwang,1,33,36,108.9,42.7,10.45,0.323128,Off T,0,Open Play,Right Foot,True,False,From Throw In,78.6,80.0,Pass,82,24,23,30.3,46.1,0.37,cross,110.1,57.3,half_space,True,18,10,4.54,0,0,0,8,1,5,118.5,40.9,1.37,0.82,wide_cross
57bb672a-cc1c-485e-9daf-ec52fd44a58a,3857287,South Korea,Uruguay,In-Beom Hwang,1,38,40,89.7,57.6,32.04,0.007071261,Off T,0,Open Play,Right Foot,False,False,From Throw In,91.9,80.0,Pass,20,6,6,-2.2,13.8,-0.11,other,90.1,65.8,wide,True,15,9,6.84,0,0,0,6,1,3,118.3,40.4,1.55,0.37,other
5d9a7dee-a394-45bd-a788-6791bcb46e98,3857287,Uruguay,South Korea,Diego Roberto Godín Leal,1,42,50,110.0,40.4,9.15,0.054689027,Post,0,Open Play,Head,False,True,From Corner,120.0,80.0,Pass,1,1,0,-10.0,30.0,-10.0,cutback,120.0,80.0,wide,True,19,11,0.7,1,3,5,10,1,4,119.1,40.0,0.82,0.0,cutback
5a203b40-fbdc-43d6-aaaf-39d78a9a2626,3857287,Uruguay,South Korea,José María Giménez de Vargas,1,45,10,103.5,35.9,15.55,0.046385217,Off T,0,Open Play,Head,False,False,From Free Kick,75.3,20.9,Pass,18,7,5,28.2,31.6,1.57,cross,104.5,7.6,wide,True,18,10,3.82,0,0,0,7,2,5,118.7,38.9,1.19,1.01,wide_cross
b1309c1c-2272-43ac-a0a6-c9f358d70c18,3857287,South Korea,Uruguay,Min Jae Kim,2,52,7,111.5,46.1,9.57,0.046898182,Wayward,0,Open Play,Other,False,False,From Corner,120.0,80.0,Pass,1,1,1,-8.5,29.5,-8.5,cutback,120.0,80.0,wide,True,18,11,1.1,0,2,4,9,2,5,118.5,41.2,1.37,1.1,cutback
f9af0c77-987d-4a7e-9e86-a8474d6cc36a,3857287,Uruguay,South Korea,Rodrigo Bentancur Colmán,2,54,21,101.3,38.3,17.17,0.052523207,Blocked,0,Open Play,Right Foot,False,False,From Free Kick,72.7,67.4,Pass,6,1,2,28.6,35.9,4.77,central_pass,96.5,43.1,central,True,19,11,1.47,0,2,3,8,2,4,118.7,40.5,1.19,0.46,central_penetration
