NM,방문수,만족,재방문의향,유형
쁘띠프랑스,21,3.761904761904762,2.9523809523809526,평범(한적+불만)
사라봉,21,4.523809523809524,4.238095238095238,숨은명소(한적+만족)
사천해변,21,4.380952380952381,4.238095238095238,숨은명소(한적+만족)
낙산공원,21,4.095238095238095,3.9523809523809526,평범(한적+불만)
독도,21,4.857142857142857,4.285714285714286,숨은명소(한적+만족)
중앙전통시장,21,4.142857142857143,4.0,평범(한적+불만)
장호항,21,4.0476190476190474,4.0,평범(한적+불만)
스플라스 워터파크,21,4.428571428571429,4.333333333333333,숨은명소(한적+만족)
서귀포예술의전당,21,4.333333333333333,4.0476190476190474,평범(한적+불만)
코스트코 세종점,20,4.45,4.6,숨은명소(한적+만족)
화양연화,20,3.95,3.25,평범(한적+불만)
아라리오갤러리 천안,20,4.05,3.75,평범(한적+불만)
군산근대건축관,20,4.15,3.8,평범(한적+불만)
여수 해상 케이블카 자산 정류장,20,4.45,4.55,숨은명소(한적+만족)
광천 식당,20,3.65,3.25,평범(한적+불만)
곱들락,20,4.15,3.7,평범(한적+불만)
고창읍성,20,4.5,4.4,숨은명소(한적+만족)
고씨네천지국수,20,4.25,3.85,평범(한적+불만)
오른(orrrn 옹알엔),20,4.55,4.2,숨은명소(한적+만족)
오브레멘,20,4.35,4.4,숨은명소(한적+만족)
온달관광지,20,4.05,3.25,평범(한적+불만)
IFC 몰,20,4.2,3.95,평범(한적+불만)
헬로키티아일랜드,20,4.3,3.55,평범(한적+불만)
속초 항아리 물회,20,3.45,2.8,평범(한적+불만)
신비의도로,20,3.25,2.85,평범(한적+불만)
잔물결,20,4.45,4.15,숨은명소(한적+만족)
서귀포 유람선,20,4.5,4.0,숨은명소(한적+만족)
중문 우두리 보말칼국수,20,4.6,4.65,숨은명소(한적+만족)
프렐류드,20,4.7,4.05,숨은명소(한적+만족)
동피랑벽화마을,20,3.9,3.7,평범(한적+불만)
상국이네,20,3.95,3.6,평범(한적+불만)
천리포수목원,20,4.45,4.1,숨은명소(한적+만족)
퍼스트렌트카,20,3.7222222222222223,3.7777777777777777,평범(한적+불만)
비케이브,20,4.45,4.0,숨은명소(한적+만족)
롯데 프리미엄 아울렛 파주점,20,4.35,4.2,숨은명소(한적+만족)
우도봉 입구,20,4.3,4.05,평범(한적+불만)
미르섬,20,4.35,4.15,숨은명소(한적+만족)
톤쇼우 광안점,20,4.55,4.2,숨은명소(한적+만족)
마이랜드,20,4.35,4.2,숨은명소(한적+만족)
카페툇마루,20,4.2,3.4,평범(한적+불만)
명진전복,20,4.5,4.3,숨은명소(한적+만족)
제천 옥순봉 출렁다리,20,4.55,4.15,숨은명소(한적+만족)
대전 오월드,20,4.8,4.75,숨은명소(한적+만족)
섭섭이네,20,3.95,3.55,평범(한적+불만)
정림사지박물관,20,4.65,4.4,숨은명소(한적+만족)
전라남도 산림자원연구소,20,4.6,4.6,숨은명소(한적+만족)
난산리다방,20,4.7,4.6,숨은명소(한적+만족)
숨도,20,3.95,4.05,평범(한적+불만)
전주현대옥 전주본점,20,4.3,4.35,평범(한적+불만)
해녀 김밥 본점,20,4.35,4.1,숨은명소(한적+만족)
수원 화성 화홍문,20,4.55,4.5,숨은명소(한적+만족)
합천영상테마파크,20,4.5,4.2,숨은명소(한적+만족)
성심당 롯데백화점 대전점,20,4.8,4.75,숨은명소(한적+만족)
