precedent_id,case_number,case_name,court_name,decision_date_iso,crime_name,sex_type,lawyer,punishment,guilty,year,injury_weeks,reduced,outcome,minor_victim,relative,special,distribute,habit_flag,agree,reflection,first_offender,same_record,recovery,conceal,deny
207178,2018노88,강간(인정된죄명:준강간미수·변경된죄명:준강간),고등군사법원,2018-09-13,준강간미수,rape,lawfirm,imprisonment,Guilty,1.5,,reduced,True,1,0,1,0,0,1,0,1,0,0,0,0
194917,2017고합281,아동·청소년의성보호에관한법률위반(위계등추행)·개인정보보호법위반,수원지법,2018-02-20,위계등추행,indecent,lawfirm,fine,Guilty,,,,False,1,0,1,0,0,1,0,1,0,0,0,1
205396,2016노417,군인등강제추행·특수폭행·폭행·모욕,부산고등법원,2016-09-22,군인등강제추행,indecent,lawfirm,suspended,Guilty,1.0,,normal,True,1,0,0,0,0,0,1,1,0,0,0,0
183224,"2015노209, 318(병합), 479(병합), 2015전노14(병합), 2015초기30",성폭력범죄의처벌등에관한특례법위반(장애인강간)·강간미수·성폭력범죄의처벌등에관한특례법위반(업무상위력등에의한추행)·강제추행·사기·부착명령·배상명령,대전고등법원,2016-02-05,"강간미수, 장애인강간",rape,public,both,Guilty,2.5,,reduced,True,1,0,1,0,1,1,1,0,0,1,0,0
179363,"(제주)2014노99,(제주)2014전노19(병합)",성폭력범죄의처벌등에관한특례법위반(장애인에대한준강간등)·성폭력범죄의처벌등에관한특례법위반(장애인준강간등)·성폭력범죄의처벌등에관한특례법위반(장애인위계등간음)·성폭력범죄의처벌등에관한특례법위반(장애인위계등추행)·성폭력범죄의처벌및피해자보호등에관한법률위반(장애인에대한준강간등)·부착명령,광주고등법원,2015-01-07,장애인 준강간,rape,public,imprisonment,Guilty,18.0,,aggravated,False,1,1,1,0,0,1,1,1,0,0,0,0
606247,2024노595,준강제추행·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·감금·강간·스토킹범죄의처벌등에관한법률위반·협박,수원고등법원,2024-11-14,준강제추행·불법촬영·감금·강간·스토킹·협박,camera,lawfirm,imprisonment,Guilty,4.0,,normal,False,1,0,1,0,0,0,0,1,0,0,0,0
599839,2024노156,성폭력범죄의처벌등에관한특례법위반(강간등치상),대전고등법원,2024-06-21,성폭력처벌법위반(강간등치상),rape,lawyer,imprisonment,Guilty,5.0,,normal,False,1,0,1,0,0,1,0,1,0,1,0,1
606097,"2022고합398-1(분리), 2023고합77(병합), 2023고합280(병합), 2023고합333(병합)",마약류관리에관한법률위반(향정)·마약류관리에관한법률위반(대마)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등),의정부지방법원,2024-04-05,마약류관리법위반(향정·대마)·불법촬영물 전시·상영,camera,lawyer,both,Guilty,4.0,,normal,False,1,0,0,1,1,0,1,0,0,0,0,1
240681,2023노3763,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·스토킹범죄의처벌등에관한법률위반·주거침입·상관모욕,서울고법,2024-03-29,촬영물등이용협박·스토킹·주거침입·상관모욕,camera,lawyer,suspended,Guilty,2.0,,normal,True,1,0,0,1,0,1,1,1,0,1,0,0
599837,2023고합61,성폭력범죄의처벌등에관한특례법위반(강간등치상),대전지방법원 논산지원,2024-03-13,성폭력처벌법위반(강간등치상),rape,lawyer,imprisonment,Guilty,6.0,,normal,False,1,0,1,0,0,1,1,1,0,1,0,1
241547,2023노499,강제추행·도로교통법위반,서울중앙지방법원,2024-01-31,강제추행·도로교통법위반,indecent,lawfirm,fine,Guilty,,,,False,0,0,0,0,0,0,0,0,0,0,0,0
601875,2023노2371,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·협박·스토킹범죄의처벌등에관한법률위반,서울고등법원,2023-11-28,촬영물등이용협박·협박·스토킹처벌법위반,camera,lawyer,suspended,Guilty,0.8333333333333334,,reduced,True,0,0,0,1,0,0,0,1,0,0,0,0
607207,2022노408,아동·청소년의성보호에관한법률위반(성착취물소지등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등),광주고등법원,2023-08-10,아동·청소년성착취물 소지·불법촬영물 소지,camera,lawfirm,,Guilty,,,,False,1,0,0,0,0,0,0,0,0,0,0,0
237973,"2022노257, 2022전노32(병합)",아동·청소년의성보호에관한법률위반(위계등유사성행위)·아동·청소년의성보호에관한법률위반(성매수등)·아동·청소년의성보호에관한법률위반(성착취물제작·배포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·미성년자의제강간·미성년자의제유사강간·아동복지법위반(아동에대한음행강요·매개·성희롱등)·성매매알선등행위의처벌에관한법률위반(성매매)·부착명령,서울고등법원(춘천),2023-06-14,아동·청소년 대상 성범죄·성착취물 제작·불법촬영·성매매,camera,lawyer,imprisonment,Guilty,7.0,,aggravated,False,1,0,1,1,0,1,0,1,0,0,0,0
607171,2021노1758,강제추행,서울동부지방법원,2022-07-15,강제추행,indecent,lawyer,suspended,Guilty,1.0,,normal,True,1,0,0,0,0,0,0,1,0,0,0,0
223455,2021노26,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),의정부지방법원,2022-01-14,카메라등이용촬영,camera,lawyer,fine,Guilty,,,,False,1,0,0,1,0,0,0,0,0,0,0,0
220353,"2021노83, 2021전노4(병합)",강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령,부산고등법원,2021-11-24,강간치상·마약류관리법위반·불법촬영·강제추행·사기·공문서위조 등,camera,public,suspended,Guilty,13.0,,aggravated,True,1,0,1,0,1,1,0,0,0,0,0,1
