"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"174",NA,"lawfirm",NA,NA,1.62e+08,0,0,0,0,0,"fraud"
"175",NA,"lawyer","imprisonment",NA,NA,0,0,0,1,0,"fraud"
"176",NA,"lawyer",NA,NA,3808610,0,0,0,0,0,"fraud"
"177",NA,NA,NA,NA,NA,0,0,0,0,0,"fraud"
"178",0,"lawfirm","both",12,261200000,0,0,1,0,0,"fraud"
"179",0,"lawyer","suspended",30,4.5e+07,0,0,0,0,0,"fraud"
"180",0,"lawfirm","imprisonment",96,71816780000,0,0,0,0,0,"fraud"
"181",1,"lawfirm","imprisonment",8,1.5e+09,0,0,0,0,0,"fraud"
"182",NA,"lawyer","imprisonment",NA,5e+06,0,0,0,0,0,"fraud"
"183",1,"lawfirm","both",14,6e+08,0,0,0,0,0,"fraud"
"184",0,"public","suspended",36,3e+08,0,1,0,1,0,"fraud"
"185",0,"public","both",24,289120000,0,0,0,0,0,"fraud"
"186",NA,NA,NA,NA,NA,0,0,0,0,0,"fraud"
"187",0,"lawfirm","suspended",15,4.7e+08,0,1,0,0,0,"fraud"
"188",0,"lawfirm","imprisonment",48,2467074140,0,1,0,0,0,"fraud"
"189",1,"lawfirm","suspended",30,1.1e+09,0,1,0,1,0,"fraud"
"190",NA,"lawfirm",NA,NA,2.5e+08,0,0,0,0,0,"fraud"
"191",1,"lawfirm","suspended",30,1.273e+11,0,0,1,0,0,"fraud"
"192",0,"lawyer","imprisonment",36,17915083700,0,0,0,0,0,"fraud"
"193",NA,"lawfirm","imprisonment",NA,831600000,0,0,0,0,0,"fraud"
"194",NA,"lawfirm",NA,NA,11629255934,0,0,0,0,0,"fraud"
"195",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"196",NA,"lawfirm",NA,NA,2e+09,0,0,0,0,0,"fraud"
"197",NA,"lawfirm","fine",NA,1e+08,0,0,0,0,0,"fraud"
"198",0,"public","suspended",6,3e+07,0,0,0,0,0,"fraud"
"199",1,"lawfirm","suspended",8,7.35e+08,0,0,0,0,0,"fraud"
"200",NA,"lawfirm","imprisonment",NA,1107983180,0,0,0,0,0,"fraud"
"201",NA,"lawfirm",NA,NA,122233535248,0,0,0,1,0,"fraud"
"202",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"203",NA,"lawfirm",NA,NA,3.5e+09,0,0,0,0,0,"fraud"
"204",0,"lawyer","suspended",90,1.1e+08,0,0,0,0,0,"fraud"
"205",0,"lawfirm","both",8,1500000,0,1,0,1,0,"fraud"
"206",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"207",0,"lawfirm","suspended",6,5.3e+07,0,0,0,0,0,"fraud"
"208",1,"public","suspended",10,6e+08,0,1,0,1,1,"fraud"
"209",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"210",1,"lawfirm","suspended",30,19773830000,0,0,0,0,0,"fraud"
"211",NA,"lawyer","suspended",NA,3e+06,0,0,0,0,0,"fraud"
"212",NA,"lawfirm","imprisonment",24,NA,0,0,0,0,0,"fraud"
"213",0,"lawfirm","suspended",6,14853000,0,0,0,0,0,"fraud"
"214",NA,"lawfirm","suspended",NA,3.6e+09,0,0,0,1,0,"fraud"
"215",NA,"lawyer","fine",NA,8.4e+09,0,0,0,0,0,"fraud"
"216",0,"lawfirm","suspended",36,8e+08,0,0,0,0,0,"fraud"
"217",NA,"public","both",14,NA,1,1,0,0,0,"fraud"
"218",0,"lawyer","both",48,145625000,0,1,1,0,0,"fraud"
"219",0,"public","both",18,1.5e+07,0,1,0,1,0,"fraud"
"220",NA,"lawfirm","both",NA,5217684306,0,0,0,0,0,"fraud"
"221",0,"lawyer","both",60,419021300,0,1,1,0,1,"fraud"
"222",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"fraud"
"223",NA,"lawyer","suspended",12,NA,0,0,0,0,0,"fraud"
"224",NA,"lawyer",NA,NA,NA,0,0,1,0,0,"fraud"
"225",NA,"lawfirm",NA,NA,2578378320,0,0,0,0,0,"fraud"
"226",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"227",0,"lawfirm","imprisonment",144,5.25e+08,0,1,1,1,0,"fraud"
"228",1,"lawfirm","suspended",12,793350520,0,0,0,0,0,"fraud"
"229",NA,NA,NA,NA,NA,0,0,0,0,0,"fraud"
"230",0,"lawyer","suspended",6,3e+06,0,0,0,1,1,"fraud"
"231",NA,"lawfirm","imprisonment",NA,5.4e+07,0,0,0,0,0,"fraud"
"232",0,"lawfirm","suspended",204,5.25e+08,0,0,1,1,0,"fraud"
"233",NA,"lawfirm","suspended",60,NA,0,0,0,1,0,"fraud"
"234",NA,"lawfirm","suspended",16,NA,0,0,0,0,0,"fraud"
"235",NA,"public",NA,NA,NA,0,0,0,0,0,"fraud"
"236",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"237",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"238",0,"lawfirm","suspended",12,206302320,0,0,0,0,0,"fraud"
"239",0,"lawyer","suspended",84,6.7e+09,0,0,0,0,0,"fraud"
"240",0,"public","both",12,89120000,0,1,0,0,0,"fraud"
"241",NA,"lawyer",NA,NA,2.1e+07,0,0,0,0,0,"fraud"
"242",0,"lawyer","suspended",12,269526760,0,0,0,0,0,"fraud"
"243",NA,"lawyer","suspended",48,NA,0,0,0,0,0,"fraud"
"244",0,"lawfirm","suspended",12,169526760,0,0,0,0,0,"fraud"
"245",0,"lawfirm","imprisonment",24,102647315,0,0,0,0,0,"fraud"
"246",NA,"lawfirm","imprisonment",72,NA,1,1,0,1,1,"fraud"
"247",0,"lawfirm","imprisonment",24,102647315,0,0,0,0,0,"fraud"
"248",0,"public","imprisonment",18,11300000,0,0,0,1,0,"fraud"
"249",0,"public","imprisonment",36,NA,1,1,0,1,1,"theft"
"250",1,"public","suspended",18,1260000,1,1,0,0,0,"theft"
"251",1,"lawyer","suspended",8,NA,0,0,1,0,1,"theft"
"252",0,"lawyer","imprisonment",NA,6000,1,0,0,0,0,"theft"
"253",0,"public","imprisonment",12,NA,1,1,0,0,0,"theft"
"254",1,"public","suspended",24,NA,1,1,0,0,0,"theft"
"255",0,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"theft"
"256",1,"lawyer","suspended",60,111360900,1,0,0,0,0,"theft"
"257",1,"public","suspended",24,NA,1,0,1,1,1,"theft"
"258",0,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"theft"
"259",0,"public","imprisonment",7,5200,1,1,0,0,0,"theft"
"260",0,"public","imprisonment",8,5200,1,1,0,0,0,"theft"
"261",1,"lawyer","suspended",NA,29700000,1,0,0,0,0,"theft"
"262",0,"lawyer","imprisonment",NA,NA,1,0,0,0,0,"theft"
"263",0,"public","imprisonment",10,260000,1,1,0,0,0,"theft"
"264",0,"lawyer","imprisonment",NA,NA,1,0,0,0,0,"theft"
"265",0,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"theft"
"266",0,"lawfirm","imprisonment",60,1637083700,0,1,1,0,1,"theft"
"267",0,"public","imprisonment",48,8404000,1,1,0,1,0,"theft"
"268",0,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"theft"
"269",0,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"theft"
"270",1,"public","suspended",12,29700000,1,1,0,1,0,"theft"
"271",1,"lawyer","suspended",12,NA,0,1,0,0,0,"theft"
"272",0,"lawyer","imprisonment",NA,1637083700,0,1,1,0,1,"theft"
"273",0,"public","imprisonment",48,8404000,1,1,0,1,0,"theft"
"274",1,"public","suspended",6,189800,0,1,1,1,1,"theft"
"275",0,"lawyer","imprisonment",NA,NA,1,0,0,0,0,"theft"
"276",0,"public","imprisonment",8,509000,0,1,0,0,1,"theft"
"277",0,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"theft"
"278",1,"lawyer","suspended",18,948638955,0,1,1,1,1,"breach"
"279",NA,"lawfirm","suspended",30,NA,0,0,1,0,0,"breach"
"280",0,"lawyer","suspended",18,4.6e+07,0,1,1,0,0,"breach"
"281",NA,"lawfirm","imprisonment",24,NA,0,0,1,0,0,"breach"
"282",0,"lawyer","suspended",72,569600000,0,0,1,0,0,"breach"
"283",NA,"lawyer","imprisonment",NA,46800000,0,0,1,0,0,"breach"
"284",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0,"breach"
"285",1,"lawfirm","suspended",24,687174550,0,0,1,0,0,"breach"
"286",1,"lawyer","suspended",12,150375925,0,1,0,0,1,"breach"
"287",0,"lawfirm","imprisonment",60,2.211e+09,0,0,1,0,0,"breach"
"288",0,"lawfirm","suspended",36,4022483100,0,0,1,0,1,"breach"
"289",0,"lawfirm","suspended",12,2035810,0,1,1,0,0,"breach"
"290",0,"lawyer","suspended",6,1e+06,0,0,1,0,0,"breach"
"291",0,"lawfirm","suspended",36,4999370000,0,1,1,0,1,"breach"
"292",1,"lawyer","suspended",10,131540175,0,1,1,0,1,"breach"
"293",NA,"lawfirm","both",NA,5e+06,0,0,1,0,0,"breach"
"294",NA,"lawyer","both",NA,372136300,0,0,1,0,0,"breach"
"295",NA,"lawyer","suspended",NA,8e+09,0,0,1,0,1,"breach"
"296",0,"lawfirm","suspended",12,75284671,0,0,1,0,1,"breach"
"297",1,NA,"suspended",12,479615000,0,1,1,0,0,"breach"
"298",NA,"lawyer","both",NA,NA,0,0,1,0,0,"breach"
"299",NA,"lawyer","imprisonment",NA,849121368,0,0,0,0,0,"breach"
"300",1,"lawyer","suspended",18,3884545625,0,0,1,0,1,"breach"
"301",1,"lawfirm","imprisonment",36,6188232232,0,0,1,1,1,"breach"
"302",0,"lawfirm","imprisonment",42,1883700000,0,1,1,0,1,"breach"
"303",1,"lawfirm","suspended",10,981475940,0,0,1,0,0,"breach"
"304",0,"lawfirm","both",60,1.5e+08,0,0,1,0,0,"breach"
"305",NA,"lawyer","both",NA,350000,0,0,1,0,0,"breach"
"306",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"breach"
"307",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"308",NA,"lawfirm","imprisonment",NA,9e+08,0,0,1,0,0,"breach"
"309",NA,"lawfirm","suspended",24,NA,0,1,1,0,0,"breach"
"310",1,"lawfirm","suspended",42,57109181555,0,0,1,0,1,"breach"
"311",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach"
"312",NA,"lawfirm","suspended",NA,302911570,0,0,1,0,1,"breach"
"313",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach"
"314",NA,"lawfirm","both",NA,NA,0,0,1,0,0,"breach"
"315",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"316",0,"public","suspended",17,124695000,0,1,1,0,1,"breach"
"317",NA,"public","imprisonment",28,NA,1,1,1,1,1,"breach"
"318",0,"lawfirm","suspended",72,569600000,0,0,1,0,0,"breach"
"319",NA,"lawfirm","suspended",8,NA,0,0,1,0,0,"breach"
"320",0,"lawyer","suspended",8,46800000,0,0,1,0,0,"breach"
"321",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach"
"322",NA,"lawyer","suspended",NA,NA,0,0,1,0,0,"breach"
"323",1,"lawfirm","suspended",48,5771358000,0,0,1,0,1,"breach"
"324",NA,"lawyer","both",NA,NA,0,0,1,0,0,"breach"
"325",NA,"lawfirm","imprisonment",216,NA,0,0,1,0,0,"breach"
"326",1,"lawfirm","suspended",18,687174550,0,0,1,0,0,"breach"
"327",NA,"lawyer","imprisonment",NA,NA,0,0,1,0,0,"breach"
